Subj.Trial,A,pearson,spearman,hsu,percision
10.5,0,2.51E-01,3.22E-01,2.88E-01,3.16E-01
10.51,0,2.01E-01,2.58E-01,2.31E-01,2.52E-01
10.52,0,2.11E-01,2.70E-01,2.41E-01,2.64E-01
10.53,1,3.47E-01,4.47E-01,3.99E-01,4.37E-01
10.54,0,1.66E-01,2.15E-01,1.92E-01,2.10E-01
10.55,0,1.88E-01,2.44E-01,2.18E-01,2.39E-01
10.56,0,1.96E-01,2.54E-01,2.27E-01,2.49E-01
10.57,0,2.05E-01,2.65E-01,2.37E-01,2.60E-01
10.58,0.67,2.96E-01,3.82E-01,3.42E-01,3.73E-01
10.59,1,3.43E-01,4.42E-01,3.94E-01,4.31E-01
10.6,1,3.45E-01,4.45E-01,3.97E-01,4.34E-01
11.01,1,3.43E-01,4.44E-01,3.96E-01,4.34E-01
11.02,0,1.99E-01,2.58E-01,2.31E-01,2.53E-01
11.03,0,1.81E-01,2.34E-01,2.10E-01,2.30E-01
11.04,1,3.48E-01,4.50E-01,4.01E-01,4.40E-01
11.05,1,3.43E-01,4.44E-01,3.96E-01,4.34E-01
11.06,0,2.21E-01,2.86E-01,2.56E-01,2.80E-01
11.07,0,1.77E-01,2.29E-01,2.04E-01,2.24E-01
11.08,0,2.16E-01,2.79E-01,2.49E-01,2.73E-01
11.09,1,3.44E-01,4.46E-01,3.98E-01,4.36E-01
11.1,0.61,2.54E-01,3.29E-01,2.94E-01,3.22E-01
11.11,0,1.67E-01,2.16E-01,1.93E-01,2.12E-01
11.12,0,1.95E-01,2.52E-01,2.25E-01,2.47E-01
11.13,0.17,2.03E-01,2.64E-01,2.36E-01,2.58E-01
11.14,0,1.97E-01,2.56E-01,2.28E-01,2.50E-01
11.15,0,1.98E-01,2.57E-01,2.29E-01,2.51E-01
11.16,1,3.31E-01,4.28E-01,3.81E-01,4.18E-01
11.17,0,1.86E-01,2.41E-01,2.16E-01,2.36E-01
11.18,0,2.07E-01,2.68E-01,2.40E-01,2.63E-01
11.19,1,3.47E-01,4.49E-01,4.00E-01,4.38E-01
11.2,1,3.82E-01,4.84E-01,4.33E-01,4.71E-01
11.21,0,1.91E-01,2.48E-01,2.21E-01,2.42E-01
11.22,0,1.55E-01,2.00E-01,1.79E-01,1.96E-01
11.23,0,1.85E-01,2.40E-01,2.14E-01,2.35E-01
11.24,0,1.61E-01,2.09E-01,1.87E-01,2.05E-01
11.25,0,1.76E-01,2.27E-01,2.03E-01,2.23E-01
11.26,1,3.37E-01,4.35E-01,3.88E-01,4.25E-01
11.27,0,1.90E-01,2.46E-01,2.20E-01,2.41E-01
11.28,0,2.17E-01,2.81E-01,2.51E-01,2.75E-01
11.29,0,2.07E-01,2.68E-01,2.39E-01,2.62E-01
11.3,0,2.17E-01,2.81E-01,2.51E-01,2.74E-01
11.31,1,3.19E-01,4.12E-01,3.67E-01,4.02E-01
11.32,0,2.21E-01,2.86E-01,2.55E-01,2.79E-01
11.33,1,3.36E-01,4.35E-01,3.88E-01,4.25E-01
11.34,1,3.57E-01,4.61E-01,4.11E-01,4.50E-01
11.35,0,1.79E-01,2.32E-01,2.07E-01,2.27E-01
11.36,0,2.28E-01,2.95E-01,2.64E-01,2.89E-01
11.37,1,3.40E-01,4.41E-01,3.93E-01,4.31E-01
11.38,0,1.90E-01,2.47E-01,2.20E-01,2.42E-01
11.39,1,3.59E-01,4.63E-01,4.14E-01,4.53E-01
11.4,1,3.76E-01,4.83E-01,4.32E-01,4.72E-01
11.41,0,1.83E-01,2.36E-01,2.11E-01,2.31E-01
11.42,0,2.20E-01,2.84E-01,2.54E-01,2.78E-01
11.43,0,1.96E-01,2.53E-01,2.26E-01,2.47E-01
11.44,0,1.88E-01,2.43E-01,2.17E-01,2.38E-01
11.45,0.93,3.25E-01,4.22E-01,3.76E-01,4.12E-01
11.46,1,3.38E-01,4.38E-01,3.90E-01,4.27E-01
11.47,0,1.32E-01,1.71E-01,1.53E-01,1.68E-01
11.48,0.87,3.04E-01,3.94E-01,3.51E-01,3.85E-01
11.49,1,3.35E-01,4.33E-01,3.86E-01,4.23E-01
11.5,1,3.53E-01,4.57E-01,4.07E-01,4.46E-01
11.51,1,3.41E-01,4.41E-01,3.93E-01,4.31E-01
11.52,1,3.68E-01,4.72E-01,4.22E-01,4.60E-01
11.53,0.65,2.56E-01,3.32E-01,2.97E-01,3.25E-01
11.54,1,3.49E-01,4.51E-01,4.02E-01,4.41E-01
11.55,0,1.95E-01,2.53E-01,2.26E-01,2.48E-01
11.56,0.29,2.23E-01,2.89E-01,2.58E-01,2.83E-01
11.57,0,1.60E-01,2.07E-01,1.85E-01,2.03E-01
11.58,1,3.47E-01,4.49E-01,4.00E-01,4.38E-01
11.59,0,1.70E-01,2.19E-01,1.96E-01,2.14E-01
11.6,0,1.44E-01,1.87E-01,1.67E-01,1.83E-01
12.01,1,3.46E-01,4.48E-01,3.99E-01,4.38E-01
12.02,0,2.11E-01,2.72E-01,2.43E-01,2.67E-01
12.03,0,2.25E-01,2.91E-01,2.60E-01,2.85E-01
12.04,1,3.47E-01,4.49E-01,4.00E-01,4.39E-01
12.05,1,3.53E-01,4.56E-01,4.07E-01,4.46E-01
12.06,0,2.20E-01,2.84E-01,2.54E-01,2.78E-01
12.07,1,3.44E-01,4.45E-01,3.97E-01,4.35E-01
12.08,1,3.41E-01,4.41E-01,3.93E-01,4.31E-01
12.09,0,2.05E-01,2.65E-01,2.37E-01,2.60E-01
12.1,0.35,2.05E-01,2.66E-01,2.37E-01,2.60E-01
12.11,1,3.42E-01,4.43E-01,3.95E-01,4.32E-01
12.12,0,1.89E-01,2.43E-01,2.18E-01,2.38E-01
12.13,1,3.41E-01,4.41E-01,3.93E-01,4.31E-01
12.14,0.11,2.53E-01,3.27E-01,2.92E-01,3.20E-01
12.15,0,2.07E-01,2.68E-01,2.40E-01,2.63E-01
12.16,1,3.60E-01,4.65E-01,4.15E-01,4.54E-01
12.17,0,2.44E-01,3.06E-01,2.74E-01,2.98E-01
12.18,1,3.46E-01,4.47E-01,3.99E-01,4.37E-01
12.19,0,2.09E-01,2.70E-01,2.41E-01,2.64E-01
12.2,1,3.41E-01,4.41E-01,3.93E-01,4.31E-01
12.21,0,2.30E-01,2.96E-01,2.65E-01,2.90E-01
12.22,0,2.11E-01,2.73E-01,2.44E-01,2.67E-01
12.23,0.85,3.12E-01,4.03E-01,3.60E-01,3.94E-01
12.24,0,2.08E-01,2.69E-01,2.40E-01,2.63E-01
12.25,0,2.22E-01,2.87E-01,2.56E-01,2.81E-01
12.26,1,3.59E-01,4.63E-01,4.13E-01,4.52E-01
12.27,0,2.51E-01,3.22E-01,2.89E-01,3.15E-01
12.28,0,2.19E-01,2.83E-01,2.53E-01,2.77E-01
12.29,0,2.11E-01,2.72E-01,2.44E-01,2.67E-01
12.3,1,3.51E-01,4.54E-01,4.05E-01,4.44E-01
12.31,0,2.03E-01,2.62E-01,2.34E-01,2.56E-01
12.32,1,3.43E-01,4.44E-01,3.95E-01,4.33E-01
12.33,1,3.39E-01,4.39E-01,3.91E-01,4.29E-01
12.34,0.95,3.28E-01,4.25E-01,3.79E-01,4.15E-01
12.35,0,1.96E-01,2.53E-01,2.26E-01,2.48E-01
12.36,0,2.26E-01,2.92E-01,2.61E-01,2.86E-01
12.37,1,3.44E-01,4.46E-01,3.97E-01,4.35E-01
12.38,1,3.43E-01,4.44E-01,3.96E-01,4.34E-01
12.39,1,3.50E-01,4.52E-01,4.03E-01,4.42E-01
12.4,0.87,3.00E-01,3.84E-01,3.43E-01,3.75E-01
12.41,1,3.66E-01,4.71E-01,4.21E-01,4.60E-01
12.42,1,3.45E-01,4.47E-01,3.98E-01,4.36E-01
12.43,0.51,2.30E-01,2.99E-01,2.67E-01,2.92E-01
12.44,0.27,2.01E-01,2.61E-01,2.33E-01,2.55E-01
12.45,0.75,2.64E-01,3.42E-01,3.05E-01,3.34E-01
12.46,0,1.55E-01,2.01E-01,1.79E-01,1.97E-01
12.47,1,3.60E-01,4.61E-01,4.12E-01,4.50E-01
12.48,1,3.39E-01,4.38E-01,3.91E-01,4.28E-01
12.49,0,1.30E-01,1.68E-01,1.51E-01,1.65E-01
12.5,0,2.01E-01,2.60E-01,2.32E-01,2.54E-01
12.51,1,3.62E-01,4.66E-01,4.16E-01,4.55E-01
12.52,1,3.38E-01,4.38E-01,3.90E-01,4.27E-01
12.53,1,3.46E-01,4.48E-01,3.99E-01,4.38E-01
12.54,1,3.70E-01,4.72E-01,4.22E-01,4.60E-01
12.55,0.95,3.16E-01,4.10E-01,3.65E-01,4.00E-01
12.56,1,3.28E-01,4.24E-01,3.78E-01,4.15E-01
12.57,1,3.39E-01,4.39E-01,3.91E-01,4.29E-01
12.58,0,2.90E-01,3.53E-01,3.18E-01,3.42E-01
12.59,1,3.50E-01,4.52E-01,4.03E-01,4.41E-01
12.6,1,3.51E-01,4.55E-01,4.05E-01,4.44E-01
