Subj.Trial,A,B,C,D,E
3.05,0.61,0.576506955,0.628571429,0.482451721,0.390243902
3.06,1,0.652241113,0.742857143,0.395969773,0.487804878
3.07,0,0.379443586,0.485714286,0.250041982,0.292682927
3.08,1,0.614064915,0.771428571,0.357010915,0.487804878
3.09,0,0.601081917,0.714285714,0.352980688,0.512195122
3.1,1,0.513292117,0.657142857,0.341393787,0.43902439
3.11,1,0.566151468,0.657142857,0.397313182,0.487804878
3.12,1,0.47202473,0.514285714,0.294206549,0.390243902
3.13,0,0.45301391,0.6,0.345256087,0.536585366
3.14,1,0.533230294,0.685714286,0.442149454,0.463414634
3.15,0.67,0.501081917,0.571428571,0.419143577,0.365853659
3.16,1,0.563523957,0.685714286,0.385558354,0.219512195
3.17,1,0.638948995,0.685714286,0.398488665,0.414634146
3.18,1,0.507264297,0.571428571,0.392443325,0.317073171
3.19,1,0.484080371,0.514285714,0.353484467,0.390243902
3.2,0,0.477125193,0.6,0.426532326,0.390243902
3.21,0,0.467078825,0.457142857,0.363392107,0.292682927
3.22,1,0.648222566,0.742857143,0.442653233,0.414634146
3.23,0,0.516228748,0.571428571,0.350461797,0.268292683
3.24,0.07,0.470479134,0.457142857,0.398992443,0.317073171
3.25,1,0.540340031,0.571428571,0.399328296,0.414634146
3.26,0,0.761823802,0.885714286,0.482115869,0.634146341
3.27,0,0.486862442,0.514285714,0.12829555,0.463414634
3.28,1,0.292426584,0.228571429,0.339042821,0.268292683
3.29,1,0.479907264,0.485714286,0.493198992,0.268292683
3.3,1,0.503554869,0.514285714,0.43240974,0.341463415
3.31,0.93,0.465069552,0.542857143,0.21813602,0.341463415
3.32,1,0.436630603,0.428571429,0.324433249,0.341463415
3.33,1,0.589335394,0.657142857,0.305289673,0.43902439
3.34,0.83,0.592890263,0.742857143,0.435264484,0.365853659
3.35,0,0.206955178,0.142857143,0.372460118,0.219512195
3.36,0,0.541731066,0.6,0.366918556,0.317073171
3.37,1,0.417465224,0.485714286,0.549958018,0.268292683
3.38,0,0.520710974,0.6,0.287993283,0.390243902
3.39,0,0.467387944,0.457142857,0.357010915,0.243902439
3.4,0,0.548531685,0.657142857,0.425356843,0.365853659
3.41,1,0.7374034,0.885714286,0.423005877,0.487804878
3.42,1,0.709891808,0.885714286,0.349286314,0.585365854
3.43,1,0.406800618,0.457142857,0.491351805,0.219512195
3.44,1,0.669397218,0.828571429,0.360033585,0.487804878
3.45,0,0.56862442,0.657142857,0.348950462,0.414634146
3.46,1,0.514837713,0.657142857,0.363895886,0.390243902
3.47,1,0.45935085,0.514285714,0.266162888,0.317073171
3.48,0,0.601391036,0.6,0.31922754,0.365853659
3.49,1,0.704327666,0.885714286,0.324265323,0.585365854
3.5,1,0.60309119,0.742857143,0.372124265,0.414634146
3.51,0,0.563987635,0.6,0.404534005,0.365853659
3.52,0.63,0.716074189,0.885714286,0.125944584,0.585365854
3.53,0,0.544358578,0.685714286,0.375314861,0.365853659
3.54,0,0.442349304,0.457142857,0.368597817,0.317073171
3.55,0,0.545285935,0.628571429,0.385390428,0.43902439
3.56,0,0.534930448,0.6,0.384047019,0.390243902
3.57,0,0.326584235,0.314285714,0.525776658,0.341463415
3.58,1,0.364914992,0.428571429,0.658942065,0.219512195
3.59,0,0.504945904,0.542857143,0.3697733,0.341463415
3.6,0.53,0.646367852,0.8,0.32527288,0.43902439
4.01,0,0.481607419,0.571428571,0.296557515,0.390243902
4.02,1,0.591962906,0.628571429,0.389420655,0.43902439
4.03,0,0.420401855,0.457142857,0.331989924,0.292682927
4.04,1,0.574343122,0.628571429,0.330982368,0.390243902
4.05,1,0.619474498,0.685714286,0.450881612,0.43902439
4.06,1,0.540803709,0.6,0.304617968,0.414634146
4.07,1,0.444822257,0.514285714,0.561376994,0.365853659
4.08,1,0.522411128,0.571428571,0.370948783,0.414634146
4.09,0,0.580680062,0.657142857,0.382031906,0.463414634
4.1,1,0.35301391,0.4,0.088664987,0.219512195
4.11,1,0.619629057,0.657142857,0.348278757,0.390243902
4.12,1,0.604482226,0.771428571,0.400839631,0.463414634
4.13,1,0.409582689,0.514285714,0.423509656,0.414634146
4.14,1,0.416074189,0.457142857,0.34643157,0.292682927
4.15,1,0.531530139,0.6,0.303106633,0.390243902
4.16,0,0.392581144,0.514285714,0.317212427,0.317073171
4.17,0,0.426738794,0.485714286,0.388077246,0.317073171
4.18,1,0.482225657,0.571428571,0.422670025,0.414634146
4.19,0,0.399690881,0.457142857,0.567758186,0.292682927
4.2,1,0.552086553,0.685714286,0.274391268,0.414634146
4.21,0,0.400463679,0.485714286,0.19177162,0.390243902
4.22,0,0.53431221,0.657142857,0.359865659,0.414634146
4.23,1,0.640185471,0.742857143,0.362552477,0.463414634
4.24,0,0.440185471,0.514285714,0.394626364,0.317073171
4.25,1,0.477279753,0.571428571,0.287489505,0.414634146
4.26,0.37,0.247140649,0.257142857,0.369437448,0.219512195
4.27,0,0.551313756,0.485714286,0.174475231,0.292682927
4.28,0,0.42194745,0.457142857,0.428211587,0.219512195
4.29,0,0.302782071,0.485714286,0.238287154,0.292682927
4.3,0,0.502318393,0.571428571,0.376154492,0.43902439
4.31,1,0.555177743,0.628571429,0.376154492,0.43902439
4.32,0,0.541421947,0.657142857,0.514357683,0.43902439
4.33,0,0.602627512,0.6,0.343744752,0.43902439
4.34,1,0.671097372,0.685714286,0.39395466,0.487804878
4.35,0,0.461978362,0.542857143,0.379345088,0.365853659
4.36,0,0.321174652,0.571428571,0.327623846,0.365853659
4.37,0,0.259041731,0.457142857,0.540890008,0.292682927
4.38,1,0.535239567,0.6,0.398656591,0.341463415
4.39,1,0.556568779,0.6,0.38572628,0.390243902
4.4,0,0.427202473,0.4,0.297900924,0.268292683
4.41,1,0.55935085,0.6,0.367758186,0.390243902
4.42,0,0.452550232,0.514285714,0.340050378,0.341463415
4.43,0,0.586707883,0.628571429,0.300587741,0.43902439
4.44,1,0.613137558,0.714285714,0.352141058,0.365853659
4.45,1,0.648068006,0.657142857,0.350125945,0.317073171
4.46,0,0.430757342,0.485714286,0.364735516,0.243902439
4.47,0,0.470015456,0.542857143,0.350797649,0.414634146
4.48,0,0.40942813,0.428571429,0.377497901,0.317073171
4.49,1,0.608037094,0.685714286,0.357178841,0.512195122
4.5,0,0.392426584,0.485714286,0.227875735,0.341463415
4.51,0,0.585625966,0.657142857,0.457598657,0.43902439
4.52,1,0.576352396,0.657142857,0.370445004,0.43902439
4.53,0,0.499536321,0.571428571,0.363392107,0.390243902
4.54,0,0.482225657,0.514285714,0.381192275,0.341463415
4.55,1,0.696136012,0.685714286,0.347439127,0.43902439
4.56,0,0.404018547,0.457142857,0.337531486,0.317073171
4.57,0,0.468315301,0.514285714,0.389252729,0.317073171
4.58,0,0.516692427,0.6,0.482787573,0.292682927
4.59,1,0.575888717,0.628571429,0.437615449,0.390243902
4.6,1,0.54698609,0.657142857,0.359193955,0.43902439
5.01,1,0.567078825,0.657142857,0.344584383,0.341463415
5.02,0,0.516074189,0.6,0.336020151,0.390243902
5.03,0,0.402627512,0.371428571,0.405373636,0.243902439
5.04,0,0.483616692,0.542857143,0.378505458,0.390243902
5.05,0,0.488871716,0.542857143,0.34038623,0.341463415
5.06,0,0.52797527,0.628571429,0.391435768,0.43902439
5.07,0,0.513137558,0.571428571,0.378169605,0.365853659
5.08,1,0.665996909,0.885714286,0.312174643,0.658536585
5.09,1,0.420401855,0.457142857,0.252392947,0.292682927
5.1,1,0.547140649,0.571428571,0.355835432,0.390243902
5.11,0,0.685162287,0.828571429,0.360369437,0.317073171
5.12,0,0.570015456,0.628571429,0.400167926,0.365853659
5.13,1,0.246367852,0.342857143,0.100755668,0.219512195
5.14,0,0.619319938,0.828571429,0.339714526,0.585365854
5.15,1,0.283307573,0.314285714,0.341393787,0.414634146
5.16,1,0.468933539,0.514285714,0.340050378,0.341463415
5.17,0,0.637094281,0.685714286,0.390260285,0.341463415
5.18,0,0.530757342,0.685714286,0.417968094,0.463414634
5.19,1,0.408346213,0.4,0.383039463,0.097560976
5.2,1,0.494899536,0.571428571,0.303610411,0.365853659
5.21,1,0.521483771,0.628571429,0.318555835,0.365853659
5.22,1,0.406800618,0.514285714,0.500587741,0.390243902
5.23,0,0.570942813,0.628571429,0.419983207,0.365853659
5.24,0,0.467078825,0.571428571,0.336523929,0.463414634
5.25,1,0.485625966,0.4,0.203862301,0.317073171
5.26,0,0.426275116,0.514285714,0.371620487,0.268292683
5.27,1,0.526893354,0.542857143,0.334676742,0.317073171
5.28,0,0.535857805,0.657142857,0.378673384,0.43902439
5.29,1,0.273570325,0.228571429,0.244332494,0.195121951
5.3,0,0.46862442,0.514285714,0.322418136,0.317073171
5.31,1,0.632148377,0.857142857,0.383375315,0.56097561
5.32,0,0.386089645,0.514285714,0.37279597,0.341463415
5.33,0,0.502782071,0.6,0.367926113,0.43902439
5.34,1,0.513292117,0.6,0.323257767,0.463414634
5.35,1,0.50015456,0.628571429,0.334508816,0.390243902
5.36,0.83,0.476816074,0.485714286,0.288664987,0.268292683
5.37,1,0.543122102,0.514285714,0.397145256,0.341463415
5.38,1,0.616383308,0.628571429,0.369941226,0.390243902
5.39,1,0.904327666,0.714285714,0.347271201,0.414634146
5.4,1,0.533693972,0.542857143,0.359865659,0.487804878
5.41,1,0.506955178,0.571428571,0.321074727,0.390243902
5.42,0,0.498918083,0.571428571,0.379009236,0.390243902
5.43,1,0.356877898,0.428571429,0.21125105,0.219512195
5.44,1,0.504945904,0.6,0.37061293,0.390243902
5.45,1,0.560432767,0.628571429,0.308648195,0.43902439
5.46,1,0.360896445,0.428571429,0.357010915,0.268292683
5.47,1,0.482843895,0.514285714,0.364231738,0.317073171
5.48,0,0.532921175,0.571428571,0.502267003,0.268292683
5.49,0,0.57202473,0.714285714,0.367422334,0.43902439
5.5,0,0.437248841,0.485714286,0.347942905,0.292682927
5.51,1,0.551313756,0.542857143,0.360033585,0.365853659
5.52,0,0.438021638,0.514285714,0.372292191,0.390243902
5.53,0,0.536476043,0.542857143,0.374139379,0.341463415
5.54,0,0.506491499,0.542857143,0.380352645,0.341463415
5.55,1,0.538176198,0.685714286,0.304450042,0.414634146
5.56,0.57,0.531530139,0.542857143,0.328631402,0.292682927
5.57,1,0.54992272,0.628571429,0.357514694,0.390243902
5.58,1,0.449304482,0.371428571,0.30193115,0.317073171
5.59,1,0.425502318,0.428571429,0.400839631,0.219512195
5.6,0,0.520247295,0.571428571,0.407052897,0.341463415
6.01,0,0.418238022,0.4,0.187069689,0.341463415
6.02,1,0.598763524,0.628571429,0.319731318,0.365853659
6.03,0,0.46862442,0.628571429,0.362384551,0.390243902
6.04,1,0.450850077,0.485714286,0.440806045,0.219512195
6.05,0,0.486707883,0.542857143,0.32611251,0.292682927
6.06,1,0.501081917,0.628571429,0.241813602,0.390243902
6.07,0,0.544822257,0.542857143,0.41511335,0.341463415
6.08,0,0.4812983,0.514285714,0.351973132,0.317073171
6.09,0,0.634003091,0.628571429,0.518052057,0.243902439
6.1,0.87,0.507727975,0.542857143,0.343240974,0.341463415
6.11,0,0.635239567,0.8,0.425356843,0.341463415
6.12,1,0.549149923,0.657142857,0.357850546,0.390243902
6.13,0,0.506646059,0.571428571,0.362048699,0.341463415
6.14,1,0.507882535,0.514285714,0.321746432,0.292682927
6.15,0,0.462751159,0.571428571,0.281947943,0.414634146
6.16,1,0.649149923,0.685714286,0.315701092,0.487804878
6.17,0.81,0.489180835,0.485714286,0.440470193,0.341463415
6.18,0.25,0.528438949,0.6,0.418639798,0.365853659
6.19,0,0.54049459,0.657142857,0.332325777,0.341463415
6.2,0.49,0.471097372,0.514285714,0.435096558,0.268292683
6.21,0,0.529366306,0.542857143,0.452057095,0.317073171
6.22,0,0.48748068,0.514285714,0.356675063,0.341463415
6.23,0,0.517619784,0.6,0.459949622,0.365853659
6.24,0.99,0.545131376,0.714285714,0.251721243,0.341463415
6.25,0,0.455641422,0.457142857,0.422670025,0.268292683
6.26,1,0.468469861,0.542857143,0.292695214,0.292682927
6.27,1,0.558268934,0.571428571,0.339714526,0.341463415
6.28,0.53,0.41576507,0.457142857,0.401847187,0.292682927
6.29,0,0.455641422,0.457142857,0.368094039,0.268292683
6.3,0,0.539258114,0.485714286,0.415449202,0.390243902
6.31,0.27,0.48114374,0.428571429,0.37968094,0.341463415
6.32,1,0.530911901,0.542857143,0.341729639,0.390243902
6.33,0,0.500309119,0.542857143,0.366918556,0.390243902
6.34,1,0.521483771,0.571428571,0.341057935,0.341463415
6.35,1,0.518083462,0.571428571,0.353316541,0.390243902
6.36,1,0.526429675,0.685714286,0.31015953,0.463414634
6.37,0.51,0.533230294,0.571428571,0.327455919,0.292682927
6.38,0,0.517774343,0.571428571,0.34559194,0.390243902
6.39,0.45,0.540958269,0.628571429,0.358858102,0.390243902
6.4,0.37,0.516228748,0.628571429,0.334172964,0.390243902
6.41,0.07,0.538330757,0.6,0.379848866,0.341463415
6.42,1,0.552395672,0.571428571,0.295549958,0.341463415
6.43,0.29,0.540958269,0.571428571,0.388581024,0.341463415
6.44,0,0.671715611,0.628571429,0.395298069,0.463414634
6.45,0.83,0.522720247,0.571428571,0.338371117,0.390243902
6.46,1,0.478979907,0.428571429,0.330646516,0.243902439
6.47,0.61,0.57805255,0.685714286,0.436104114,0.463414634
6.48,0.31,0.186553323,0.085714286,0.310495382,0.097560976
6.49,1,0.451313756,0.4,0.392443325,0.243902439
6.5,0.49,0.517619784,0.542857143,0.404198153,0.365853659
6.51,1,0.608500773,0.771428571,0.393618808,0.536585366
6.52,1,0.491808346,0.457142857,0.315365239,0.268292683
6.53,0,0.473415765,0.428571429,0.389084803,0.292682927
6.54,0,0.489026275,0.514285714,0.337531486,0.292682927
6.55,0.27,0.501236476,0.6,0.34038623,0.43902439
6.56,0.41,0.581761978,0.628571429,0.294206549,0.365853659
6.57,1,0.57511592,0.714285714,0.384047019,0.512195122
6.58,0,0.456414219,0.428571429,0.312510495,0.243902439
6.59,1,0.505409583,0.457142857,0.329974811,0.268292683
6.6,1,0.541731066,0.6,0.348950462,0.219512195
7.01,0,0.476970634,0.571428571,0.405205709,0.365853659
7.02,1,0.668315301,0.628571429,0.348446683,0.585365854
7.03,1,0.574034003,0.742857143,0.358186398,0.512195122
7.04,0,0.425502318,0.657142857,0.318891688,0.536585366
7.05,0,0.518392581,0.514285714,0.407220823,0.365853659
7.06,0,0.461978362,0.428571429,0.343576826,0.487804878
7.07,1,0.63446677,0.771428571,0.311670865,0.512195122
7.08,0,0.499072643,0.428571429,0.248194794,0.146341463
7.09,1,0.548222566,0.714285714,0.288832914,0.56097561
7.1,1,0.520865533,0.685714286,0.292527288,0.390243902
7.11,0,0.555641422,0.6,0.350797649,0.317073171
7.12,0,0.680680062,0.8,0.164063812,0.56097561
7.13,1,0.599072643,0.685714286,0.415785055,0.585365854
7.14,0,0.4,0.457142857,0.302770781,0.243902439
7.15,0,0.458114374,0.457142857,0.383879093,0.219512195
7.16,1,0.515146832,0.542857143,0.170277078,0.292682927
7.17,0,0.395363215,0.457142857,0.380688497,0.292682927
7.18,0,0.414064915,0.428571429,0.229890848,0.43902439
7.19,0,0.452859351,0.628571429,0.210747271,0.414634146
7.2,0,0.51885626,0.485714286,0.426532326,0.024390244
7.21,1,0.470633694,0.6,0.333501259,0.365853659
7.22,0,0.464296754,0.457142857,0.369269521,0.268292683
7.23,1,0.849304482,1,0.290848027,0.390243902
7.24,0,0.513446677,0.571428571,0.468178002,0.317073171
7.25,1,0.643122102,0.771428571,0.347439127,0.536585366
7.26,1,0.597372488,0.771428571,0.412930311,0.536585366
7.27,0,0.508500773,0.571428571,0.371956339,0.390243902
7.28,0,0.489489954,0.371428571,0.342065491,0.170731707
7.29,0,0.556568779,0.6,0.268010076,0.365853659
7.3,0,0.520710974,0.542857143,0.375482788,0.390243902
7.31,0.73,0.435548686,0.457142857,0.254575987,0.146341463
7.32,1,0.779598145,0.857142857,0.36759026,0.487804878
7.33,0,0.585625966,0.542857143,0.727120067,0.219512195
7.34,1,0.416074189,0.628571429,0.269857263,0.341463415
7.35,1,0.437712519,0.342857143,0.308312343,0.170731707
7.36,1,0.523029366,0.571428571,0.026532326,0.243902439
7.37,1,0.540340031,0.685714286,0.361209068,0.365853659
7.38,0,0.483616692,0.485714286,0.371452561,0.243902439
7.39,1,0.749613601,0.914285714,0.320738875,0.56097561
7.4,1,0.525347759,0.657142857,0.289504618,0.463414634
7.41,1,0.704018547,0.885714286,0.500755668,0.414634146
7.42,1,0.48748068,0.4,0.376154492,0.292682927
7.43,0,0.535239567,0.714285714,0.464315701,0.317073171
7.44,0,0.64698609,0.571428571,0.385894207,0.317073171
7.45,1,0.705873261,0.771428571,0.366918556,0.390243902
7.46,0,0.434003091,0.285714286,0.414777498,0.048780488
7.47,0,0.499227202,0.571428571,0.379345088,0.463414634
7.48,0,0.500618238,0.6,0.315197313,0.512195122
7.49,1,0.589953632,0.6,0.384718724,0.268292683
7.5,0,0.550386399,0.6,0.334172964,0.390243902
7.51,1,0.428284389,0.6,0.314861461,0.292682927
7.52,1,0.435239567,0.514285714,0.528967254,0.219512195
7.53,0,0.597836167,0.628571429,0.386901763,0.219512195
7.54,0,0.665842349,0.685714286,0.285642317,0.390243902
7.55,0,0.550231839,0.514285714,0.381024349,0.463414634
7.56,1,0.656414219,0.771428571,0.601007557,0.463414634
7.57,1,0.517465224,0.514285714,0.393618808,0.414634146
7.58,0,0.421329212,0.514285714,0.349118388,0.243902439
7.59,0,0.60309119,0.571428571,0.282451721,0.390243902
7.6,1,0.665842349,0.742857143,0.42418136,0.536585366
8.01,1,0.605100464,0.6,0.381192275,0.390243902
8.02,0,0.48438949,0.571428571,0.317884131,0.365853659
8.03,1,0.610355487,0.657142857,0.397649034,0.390243902
8.04,1,0.564142195,0.628571429,0.406884971,0.390243902
8.05,0,0.461360124,0.542857143,0.284130982,0.365853659
8.06,1,0.565378671,0.571428571,0.352812762,0.341463415
8.07,1,0.586398764,0.571428571,0.396809404,0.365853659
8.08,0,0.467697063,0.514285714,0.335180521,0.317073171
8.09,1,0.572797527,0.628571429,0.403862301,0.390243902
8.1,1,0.578979907,0.628571429,0.380688497,0.43902439
8.11,1,0.553786708,0.6,0.347607053,0.414634146
8.12,0,0.436012365,0.542857143,0.265323258,0.317073171
8.13,0,0.496599691,0.6,0.309319899,0.365853659
8.14,0,0.462751159,0.571428571,0.2829555,0.365853659
8.15,1,0.550540958,0.628571429,0.347607053,0.365853659
8.16,1,0.553941267,0.685714286,0.336356003,0.463414634
8.17,1,0.519474498,0.6,0.332829555,0.390243902
8.18,0,0.465996909,0.542857143,0.313350126,0.365853659
8.19,1,0.531684699,0.628571429,0.336523929,0.43902439
8.2,0,0.475888717,0.542857143,0.327959698,0.341463415
8.21,1,0.565069552,0.628571429,0.391603694,0.43902439
8.22,1,0.644667697,0.714285714,0.471200672,0.463414634
8.23,1,0.588408037,0.6,0.358690176,0.341463415
8.24,1,0.612210201,0.657142857,0.353148615,0.390243902
8.25,0,0.445749614,0.514285714,0.272712007,0.341463415
8.26,1,0.573106646,0.685714286,0.407052897,0.43902439
8.27,1,0.629057187,0.628571429,0.364231738,0.390243902
8.28,1,0.580525502,0.628571429,0.385054576,0.390243902
8.29,0,0.423956723,0.485714286,0.231066331,0.317073171
8.3,0,0.442967543,0.514285714,0.279429051,0.365853659
8.31,0,0.376506955,0.4,0.274895046,0.268292683
8.32,1,0.501236476,0.542857143,0.351301427,0.365853659
8.33,0,0.437094281,0.514285714,0.357010915,0.317073171
8.34,0,0.509119011,0.571428571,0.318052057,0.365853659
8.35,1,0.549768161,0.657142857,0.350965575,0.463414634
8.36,0,0.474034003,0.542857143,0.324265323,0.341463415
8.37,0,0.474652241,0.6,0.330142737,0.365853659
8.38,0,0.402472952,0.457142857,0.228211587,0.268292683
8.39,0,0.400772798,0.485714286,0.227036104,0.268292683
8.4,1,0.564451314,0.628571429,0.295549958,0.365853659
8.41,1,0.533075734,0.542857143,0.323425693,0.390243902
8.42,0,0.386553323,0.485714286,0.248866499,0.341463415
8.43,1,0.593353941,0.657142857,0.426868178,0.43902439
8.44,1,0.568315301,0.6,0.406213266,0.365853659
8.45,0,0.456877898,0.514285714,0.314525609,0.341463415
8.46,1,0.607418856,0.685714286,0.428043661,0.390243902
